Trial #,Total Time,# Comms,Total Cost
0,2.2,20,108.0
1,2.2,20,108.0
2,2.2,20,108.0
3,2.2,20,108.0
4,2.2,20,108.0
5,2.2,20,108.0
6,2.2,20,108.0
7,3.0,28,148.0
8,3.15,30,156.0
9,2.2,20,108.0
10,2.2,20,108.0
11,6.25,54,304.0
12,2.2,20,108.0
13,2.2,20,108.0
14,3.65,34,180.0
15,6.25,54,304.0
16,3.15,30,156.0
17,4.15,38,204.0
18,2.2,20,108.0
19,2.2,20,108.0
20,2.2,20,108.0
21,2.2,20,108.0
22,2.2,20,108.0
23,6.25,54,304.0
24,2.2,20,108.0
25,6.5,56,316.0
26,6.75,58,328.0
27,2.2,20,108.0
28,2.4,24,120.0
29,6.25,54,304.0
