Trial #,Total Time,# Comms,Total Cost
0,2.2,20,200.0
1,2.2,20,200.0
2,2.2,20,200.0
3,2.2,20,200.0
4,2.2,20,200.0
5,2.2,20,200.0
6,2.2,20,200.0
7,2.2,20,200.0
8,2.2,20,200.0
9,2.4,24,216.0
10,2.2,20,200.0
11,2.2,20,200.0
12,2.2,20,200.0
13,2.2,20,200.0
14,2.2,20,200.0
15,2.2,20,200.0
16,2.2,20,200.0
17,2.2,20,200.0
18,7.5,64,686.0
19,2.2,20,200.0
20,2.2,20,200.0
21,2.2,20,200.0
22,2.2,20,200.0
23,2.2,20,200.0
24,6.5,56,594.0
25,2.2,20,200.0
26,2.2,20,200.0
27,2.2,20,200.0
28,3.9,36,354.0
29,2.2,20,200.0
30,2.2,20,200.0
31,2.2,20,200.0
32,2.4,24,216.0
33,2.2,20,200.0
34,2.2,20,200.0
35,2.2,20,200.0
36,3.0,28,272.0
37,2.2,20,200.0
38,2.2,20,200.0
39,2.2,20,200.0
40,2.2,20,200.0
41,2.2,20,200.0
42,2.2,20,200.0
43,2.2,20,200.0
44,3.0,28,272.0
45,2.2,20,200.0
46,2.2,20,200.0
47,2.2,20,200.0
48,3.9,36,354.0
49,2.2,20,200.0
50,FAILED,164,1836.0
51,2.2,20,200.0
52,2.2,20,200.0
53,2.2,20,200.0
54,2.2,20,200.0
55,2.2,20,200.0
56,2.2,20,200.0
57,2.2,20,200.0
58,2.2,20,200.0
59,2.2,20,200.0
60,2.2,20,200.0
61,2.2,20,200.0
62,2.2,20,200.0
63,4.25,38,387.0
64,2.2,20,200.0
65,2.2,20,200.0
66,3.15,30,285.0
67,2.2,20,200.0
68,2.2,20,200.0
69,2.2,20,200.0
70,2.2,20,200.0
71,2.2,20,200.0
72,2.2,20,200.0
73,FAILED,164,1836.0
74,2.2,20,200.0
75,3.0,28,272.0
76,2.2,20,200.0
77,2.2,20,200.0
78,2.2,20,200.0
79,2.2,20,200.0
80,2.2,20,200.0
81,2.2,20,200.0
82,2.2,20,200.0
83,2.2,20,200.0
84,2.2,20,200.0
85,2.2,20,200.0
86,7.5,64,686.0
87,2.2,20,200.0
88,2.2,20,200.0
89,2.2,20,200.0
90,4.25,38,387.0
91,2.2,20,200.0
92,2.2,20,200.0
93,2.2,20,200.0
94,2.2,20,200.0
95,3.0,28,272.0
96,2.2,20,200.0
97,2.2,20,200.0
98,2.75,26,249.0
99,3.0,28,272.0
